T,D,P
示,보이다,じ·し/しめす
瞬,순간,しゅん/またたく
率,"비율, 이끌다",りつ·そつ/ひきいる
単,단순하다,たん
手,손,しゅ/て·た
末,끝,まつ·ばつ/すえ
命,생명,めい·みょう/いのち
存,존재하다,そん·ぞん
章,"장, 문장",しょう
量,"양, 측정하다",りょう/はかる
格,자격,かく·こう
触,닿다,しょく/さわる·ふれる
隊,대(군사),たい
為,~위해서,い
題,제목,だい
能,능력,のう
間,사이,かん·けん/あいだ·ま
倒,넘어지다,とう/たおす·たおれる楽,"즐겁다, 음악",がく· らく/たのしい·たのしむ
字,글자,じ/あざ
筋,"근육, 줄기",きん/すじ
悲,슬프다,ひ/かなしい·かなしむ
塾,학원,じゅく
校,학교,こう
憂,근심하다,ゆう/うれい·うれえる·うい
焼,굽다,しょう/やく·やける
線,선,せん
加,더하다,か/くわえる·くわわる
録,기록하다,ろく
力,힘,りき· りょく/ちから
構,"구조, 짜다",こう/かまう·かまえる
準,준비하다,じゅん
肯,긍정하다,こう
敵,적,てき/かたき
悪,나쁘다,あく·お/わるい
半,절반,はん/なかば
野,"들판, 야외",や/の
十,열,じっ·じゅう/と·とお
作,만들다,さ·さく/つくる
恥,부끄러움,ち/はじ·はじらう·はじる·はずかしい
在,있다,ざい/ある
爽,상쾌하다,そう/さわやか
減,줄이다,げん/へらす·へる
危,위험하다,き/あぶない·あやうい·あやぶむ
告,알리다,こく/つげる
成,이루다,せい·じ ょう/なす·なる
明,밝다,みょう·めい/あかす·あからむ·あかり·あかるい·あかるむ·あきらか·あく· あくる·あける
張,"펴다, 뻗다",ちょう/はる
猫,고양이,びょう/ねこ
完,완성하다,か ん
外,"외부, 밖",がい·げ/そと·はずす·はずれる·ほか
副,"부, 보조",ふく
欲,욕망,よく/ほしい·ほっする
改,고치다,かい/あらたまる·あらためる
注,주목하다,ち ゅう/そそぐ
兵,병사,へい·ひょう
罪,죄,ざい/つみ
白,하얀,はく·びゃく/しら·しろ·しろい
知,알다,ち/しる
判,판단하다,はん·ばん
特,특별하다,とく
界,세계,かい
背,"등, 뒤",はい/せ·せい·そむく·そむ ける
残,남다,ざん/のこす·のこる
横,가로,おう/よこ
齢,나이,れい
穀,곡식,こく
険,험하다,けん/けわしい
現,나타나다,げん/ あらわす·あらわれる
果,결과,か/はたす·はて·はてる
早,빠르다,そう·さっ/はやい·は やまる·はやめる
行,"가다, 행하다",ぎょう·こう·あん/いく·おこなう·ゆく
同,같다,どう/おな じ
束,묶다,そく/たば
摂,섭취하다,せつ
況,상황,きょう
互,서로,ご/たがい整,정리하다,せい/ととのう·ととのえる
追,쫓다,つい/おう
得,얻다,とく/える·うる
今,지금,こん·きん/いま
夫,남편,ふ·ふう/おっと
築,쌓다,ちく/きずく
人,사람,じん·にん/ひと
快,기쁘다,かい/こころよい
苦,괴롭다,く/くるしい·くるしむ·くるしめる·にがい·にがる
金,"돈, 금",きん·こん/かな·かね
必,반드시,ひつ/かならず
足,발,そく/あし·たす·たりる·たる
不,아니다,ふ·ぶ
穴,구멍,けつ/あな
散,흩어지다,さん/ちらかす·ちらかる·ちらす·ちる
暇,한가하다,か/ひま
価,가치,か/あたい
期,기간,き·ご
被,입다,ひ/こうむる
年,"년, 해",ねん/とし
嵐,폭풍,あらし
者,사람,しゃ/もの
感,느끼다,かん
並,나란히,へい/なみ·ならびに·ならぶ·ならべる
食,먹다,しょく·じき/ くう·たべる·くらう
頑,완고하다,がん
途,길,と
純,순수하다,じゅん
環,환경,かん
中,"안, 중간",じゅう·ちゅう/なか
友,친구,ゆう/とも
上,위,じょう·しょう/あがる·あげる·うえ·うわ·かみ·のぼる·のぼす·のぼせる
情,감정,じょう·せい/なさけ
暴,폭력적이다,ぼう·ばく/あばれる·あばく
着,입다,ちゃく·じゃく/きせる·きる·つく·つける
制,제어하다,せい
際,사이,さい/きわ
活,생활하다,かつ
読,읽다,とう·とく·どく/よむ
文,"글, 문장",ぶん·もん/ふみ
込,"담다, 포함하다",こむ·こめる
緊,긴급하다,きん
講,강의하다,こう
否,부정하다,ひ/いな
去,가다,きょ·こ/さる
入,들어가다,にゅう/いる·いれる·はいる
待,기다리다,たい/まつ
境,경계,きょう·けい/さかい
扱,다루다,あつかう
攻,공격하다,こう/せめる
鬱,우울하다,うつ
立,서다,りつ·りゅう/たつ·たてる
疑,의심하다,ぎ/うたがう
長,길다,ちょう/ながい
頃,무렵,ころ
好,좋아하다,こう/このむ·すく
訓,가르치다,くん
譲,양보하다,じょ う/ゆずる
病,병,びょう·へい/やまい·やむ劇,극적이다,げき
健,건강하다,けん/すこやか
旗,깃발,き/はた
葉,잎,よう/は
帯,"띠, 휴대하다",たい/おび·おびる
拒,거부하다,きょ/こばむ
設,설치하다,せつ/もうける
握,쥐다,あく/にぎる
変,변하다,へん/かえる·かわる
臆,소심하다,おく
元,근원,がん·げん/もと
産,생산하다,さん/うまれる·う む·うぶ
刻,새기다,こく/きざむ
甲,"갑, 첫째",かん·こう
備,준비하다,び/そなえる·そなわる
別,"다르다, 이별",べつ/わかれる
直,"직선, 곧다",じき·ちょく/ただちに·なおす· なおる
有,있다,ゆう·う/ある
安,편안하다,あん/やすい
常,항상,じょう/つね·とこ
運,"운반하다, 운명",うん/はこぶ
誠,성실하다,せい/まこと
要,필요하다,よう/かなめ·いる
破,부수다,は/やぶる·やぶれる
論,논하다,ろん
表,나타내다,ひょう/あらわす·あらわれる·おもて
法,법,ほう·はっ·ほっ
報,"알리다, 보답하다",ほ う/むくいる
眠,잠,みん/ねむい·ねむる
内,안,ない·だい/うち
善,선하다,ぜん/よい
住,살다,じゅう/すまう·すむ
給,"주다, 공급하다",きゅう
止,멈추다,し/とまる·とめる
国,나라,こく/くに
